[2026-05-12 10:10:03.346678] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_2.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_2.docx
[2026-05-12 10:10:03.429207] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_3.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_3.docx
[2026-05-12 10:10:03.529773] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_4.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_4.docx
[2026-05-12 10:10:03.633007] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_5.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_5.docx
[2026-05-12 10:10:03.733938] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_6.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_6.docx
[2026-05-12 10:10:03.849877] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_7.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_7.docx
[2026-05-12 10:10:03.949944] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_8.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101003_project_report_8.docx
[2026-05-12 10:10:04.064901] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_9.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101004_project_report_9.docx
[2026-05-12 10:10:04.166596] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_10.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101004_project_report_10.docx
[2026-05-12 10:10:04.280199] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_11.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101004_project_report_11.docx
[2026-05-12 10:10:04.381870] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_12.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101004_project_report_12.docx
[2026-05-12 10:10:06.007300] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_1.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101005_project_report_1.docx.locked
[2026-05-12 10:13:04.308810] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_4.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_4.docx
[2026-05-12 10:13:04.414325] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_5.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_5.docx
[2026-05-12 10:13:04.512810] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_6.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_6.docx
[2026-05-12 10:13:04.615866] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_7.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_7.docx
[2026-05-12 10:13:04.716621] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_8.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_8.docx
[2026-05-12 10:13:04.830321] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_9.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_9.docx
[2026-05-12 10:13:04.919533] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_10.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101304_project_report_10.docx
[2026-05-12 10:13:05.034452] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_11.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101305_project_report_11.docx
[2026-05-12 10:13:05.123976] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_12.docx → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101305_project_report_12.docx
[2026-05-12 10:13:06.740751] QUARANTINED | Risk: HIGH | Process: System Idle Process | C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\test_folder\project_report_2.docx.locked → C:\Users\nimsa\OneDrive\Documents\Visual Studio\NOVASPHERE\quarantine\20260512_101306_project_report_2.docx.locked
